icpsr_id,gender,congress,art_count
29547,M,104,13
29746,M,105,4
29746,M,106,3
29746,M,107,2
29746,M,108,3
29746,M,109,1
29746,M,110,4
29746,M,111,6
29746,M,112,17
29531,F,104,7
29531,F,105,3
29531,F,106,6
29531,F,107,10
29518,M,104,38
29518,M,105,46
29518,M,106,19
29388,M,104,18
29388,M,103,9
14664,M,102,19
14664,M,103,41
14664,M,104,22
14664,M,105,23
14664,M,106,14
14664,M,107,17
14664,M,108,21
14823,M,104,0
14823,M,105,0
14823,M,102,0
14823,M,103,0
29584,F,104,6
29584,F,105,7
29584,F,106,8
29584,F,107,4
29584,F,108,4
29584,F,109,11
29584,F,110,5
29552,M,104,2
29552,M,105,1
29552,M,106,1
29552,M,107,2
29552,M,108,5
29552,M,109,0
21131,M,112,6
29300,M,103,2
29300,M,104,1
29300,M,105,10
29300,M,106,3
29300,M,107,2
29300,M,108,1
29300,M,109,2
29300,M,110,2
29328,F,103,3
29328,F,104,3
29328,F,105,8
29328,F,106,9
29328,F,107,6
29328,F,108,2
29328,F,109,3
29328,F,110,8
29328,F,111,3
29328,F,112,8
14404,,102,0
20714,M,110,10
29356,M,103,3
29356,M,104,3
29356,M,105,9
29356,M,106,4
29356,M,107,3
29356,M,108,5
29356,M,109,9
29356,M,110,5
29356,M,111,3
29356,M,112,20
29717,M,105,6
29717,M,106,9
29717,M,107,5
29717,M,108,10
29717,M,109,5
29717,M,110,8
29717,M,111,43
29717,M,112,23
10573,M,104,28
10573,M,105,34
10573,M,106,32
10573,M,102,33
10573,M,103,34
29514,F,104,0
29514,F,105,0
29514,F,106,6
10757,F,102,7
10757,F,103,4
10757,F,104,6
10757,F,105,7
10757,F,106,3
10757,F,107,18
14257,M,104,12
14257,M,102,14
14257,M,103,21
29366,M,104,3
29366,M,105,9
29366,M,106,8
29366,M,103,9
29571,M,104,12
29571,M,105,6
29571,M,106,18
29571,M,107,23
29571,M,108,19
29571,M,109,7
29571,M,110,13
29571,M,111,16
29571,M,112,25
14219,M,102,1
14219,M,103,9
29748,M,105,10
29748,M,106,16
29748,M,107,10
29748,M,108,311
29748,M,109,25
29748,M,110,358
29748,M,111,97
29748,M,112,86
15075,M,104,3
15075,M,102,3
15075,M,103,10
14435,M,102,75
14435,M,103,104
14435,M,104,54
14435,M,105,34
14435,M,106,26
14435,M,107,67
14435,M,108,50
14435,M,109,72
14435,M,110,76
14435,M,111,152
14435,M,112,114
29106,F,102,41
29106,F,103,41
29106,F,104,14
29106,F,105,68
29106,F,106,20
29106,F,107,16
29106,F,108,4
29106,F,109,28
29106,F,110,34
29106,F,111,93
29106,F,112,61
39312,F,103,3
39312,F,104,17
39312,F,105,33
39312,F,106,37
39312,F,107,17
39312,F,108,11
29534,M,104,15
29534,M,105,4
29534,M,106,2
29534,M,107,0
29534,M,108,3
29534,M,109,2
29534,M,110,32
29332,M,104,34
29332,M,105,66
29332,M,106,34
29332,M,103,2
29351,M,103,4
29757,M,105,3
29757,M,106,8
29757,M,107,4
29757,M,108,6
15601,M,102,21
15601,M,103,2
15601,M,104,7
15601,M,105,23
15601,M,106,42
15601,M,107,1
15601,M,108,4
15601,M,109,12
14601,,102,9
10703,M,102,20
29371,M,104,23
29371,M,105,27
29371,M,106,190
29371,M,103,4
15609,M,104,3
15609,M,102,7
15609,M,103,16
20122,F,107,1
20122,F,108,4
20122,F,109,3
20122,F,110,4
20122,F,111,1
20122,F,112,11
14869,M,102,9
14869,M,103,13
14869,M,104,24
14869,M,105,27
14869,M,106,18
14869,M,107,9
14869,M,108,18
14869,M,109,17
14869,M,110,13
14869,M,111,10
14869,M,112,24
14840,M,102,32
29767,M,105,6
29767,M,106,15
14051,F,104,62
14051,F,102,83
14051,F,103,49
29529,M,104,10
29529,M,105,7
29529,M,106,4
29529,M,107,32
14273,M,102,1
29909,M,106,8
29909,M,107,2
29909,M,108,14
14858,M,104,209
14858,M,105,555
14858,M,102,224
14858,M,103,289
20129,M,107,29
20129,M,108,34
20129,M,109,33
20129,M,110,41
20129,M,111,71
20129,M,112,108
39308,M,103,2
39308,M,104,3
39308,M,105,7
39308,M,106,9
39308,M,107,5
39308,M,108,3
39308,M,109,2
39308,M,110,3
39308,M,111,6
39308,M,112,15
21191,M,112,2
29367,M,103,12
21170,M,112,2
29779,F,105,17
29779,F,106,13
29779,F,107,10
29779,F,108,20
29779,F,109,48
29779,F,110,48
15072,M,102,70
15072,M,103,28
15072,M,104,14
15072,M,105,54
15072,M,106,28
15072,M,107,12
15072,M,108,24
15072,M,109,28
15072,M,110,44
15072,M,111,127
15072,M,112,33
10788,M,102,11
29567,M,104,18
29567,M,105,25
29567,M,106,11
29567,M,107,13
29567,M,108,7
29567,M,109,10
29567,M,110,17
29567,M,111,9
20941,F,112,4
20941,F,111,3
14822,M,104,43
14822,M,102,3
14822,M,103,17
29314,M,103,82
39315,M,104,10
39315,M,105,20
39315,M,106,11
39315,M,107,8
39315,M,103,9
14414,M,104,123
14414,M,102,29
14414,M,103,21
14812,M,102,16
12035,,102,3
21141,M,112,15
21110,F,112,5
21180,F,112,12
21132,M,112,7
21193,M,112,8
21199,M,112,59
21198,F,112,2
14451,M,102,3
14451,M,103,6
14451,M,104,8
14451,M,105,9
14451,M,106,9
14451,M,107,17
14451,M,108,18
14451,M,109,24
14451,M,110,39
14451,M,111,70
15442,M,102,8
15442,M,103,9
15442,M,104,18
15442,M,105,25
15442,M,106,1
15442,M,107,0
14861,M,102,1
14861,M,103,1
14861,M,104,5
14861,M,105,5
14861,M,106,6
14861,M,107,5
14015,M,102,12
14015,M,103,30
14015,M,104,61
14015,M,105,77
14015,M,106,73
14015,M,107,36
29763,M,105,3
29763,M,106,4
29763,M,107,1
29763,M,108,2
29763,M,109,1
29763,M,110,2
29763,M,111,3
29763,M,112,6
14251,F,102,4
14251,F,103,1
14621,,102,5
29392,M,103,7
29392,M,104,38
29392,M,105,23
29392,M,106,11
29392,M,107,12
29392,M,108,6
29392,M,109,6
29903,F,106,2
29903,F,107,0
29903,F,108,1
29903,F,109,3
29903,F,110,1
29903,F,111,0
29903,F,112,3
14443,F,102,29
29772,M,105,23
29734,M,105,1
29734,M,106,1
29734,M,107,77
29734,M,108,40
29734,M,109,6
29734,M,110,7
14265,M,102,8
14265,M,103,23
14265,M,104,11
14265,M,105,10
14265,M,106,7
14265,M,107,19
14265,M,108,11
14265,M,109,11
14265,M,110,45
14265,M,111,32
12036,M,102,51
12036,M,103,43
12036,M,104,41
12036,M,105,48
12036,M,106,41
12036,M,107,59
12036,M,108,48
12036,M,109,37
12036,M,110,52
12036,M,111,88
14842,M,104,57
14842,M,105,62
14842,M,106,91
14842,M,102,14
14842,M,103,22
29134,M,102,59
29134,M,103,52
29134,M,104,32
29134,M,105,47
29134,M,106,52
29134,M,107,54
29134,M,108,50
29134,M,109,40
29134,M,110,66
29134,M,111,65
29134,M,112,15
20757,M,112,10
20757,M,110,5
20757,M,111,9
14075,,102,0
20949,M,112,85
20949,M,111,28
20906,M,112,17
20906,M,111,3
20952,M,112,16
20952,M,111,25
15630,M,102,0
15630,M,103,3
15630,M,104,8
15630,M,105,2
