idno,gender,cong,art_count
12103,,102,141
14307,M,102,114
14307,M,103,61
14307,M,104,86
14307,M,105,89
14307,M,106,122
14307,M,107,313
14307,M,108,157
14307,M,109,237
14307,M,110,263
14307,M,111,279
14307,M,112,114
49704,M,105,47
49704,M,106,112
49704,M,107,123
49704,M,108,75
49704,M,109,126
49704,M,110,234
14900,M,104,712
14900,M,105,920
14900,M,102,569
14900,M,103,558
14502,M,102,117
14502,M,103,96
13050,M,102,4
15424,M,104,13
15424,M,105,26
15424,M,106,51
15424,M,107,38
15424,M,108,50
15424,M,109,66
15424,M,110,58
15424,M,111,95
15424,M,112,79
14107,M,104,6
14107,M,102,3
14107,M,103,2
14922,M,102,1
14922,M,103,1
14922,M,104,1
14922,M,105,0
14922,M,106,12
14922,M,107,35
14922,M,108,94
14922,M,109,71
14922,M,110,84
14922,M,111,161
14922,M,112,48
15701,M,102,51
15701,M,103,44
15701,M,104,31
15701,M,105,20
15701,M,106,40
15701,M,107,5
15701,M,108,2
15701,M,109,2
15037,M,104,87
15037,M,105,46
15037,M,106,95
15037,M,102,53
15037,M,103,49
660,,102,332
14709,M,102,45
14709,M,103,55
14709,M,104,43
14709,M,105,52
14709,M,106,54
14709,M,107,160
14709,M,108,142
14709,M,109,150
14709,M,110,253
14709,M,111,252
14709,M,112,207
40908,M,112,75
40908,M,111,48
40701,F,112,249
40701,F,110,124
40701,F,111,131
15503,M,102,1
15503,M,103,0
15503,M,104,3
15503,M,105,3
15503,M,106,1
15503,M,107,5
15503,M,108,0
40906,F,112,29
40906,F,111,35
29555,M,112,230
29555,M,109,84
29555,M,110,66
29555,M,111,249
14009,M,102,12
14009,M,103,6
14009,M,104,29
14009,M,105,37
14009,M,106,31
14009,M,107,35
14009,M,108,11
14009,M,109,23
14009,M,110,38
14009,M,111,34
14009,M,112,12
14240,M,102,35
14240,M,103,81
14240,M,104,55
14240,M,105,54
14240,M,106,67
14240,M,107,282
11204,M,102,77
11204,M,103,91
11204,M,104,32
11204,M,105,67
11204,M,106,43
11204,M,107,124
11204,M,108,82
